Springfield,,,,,,,,,,,,
January 2012 - January 2019,,,,,,,,,,,,
Report Date: 02/23/2019 10:12 AM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Springfield,Joseph O. Jannazzo,120708998,5,17735740.16,16377949.76,1357790.4,5854525,4496734.6,1357790.4,407339.64,339449.81,67889.83
Springfield,KANA3 INC,120710600,5,9192692.72,8399103.18,793589.54,3030495,2236905.46,793589.54,238079.12,198399.38,39679.74
Springfield,Karen Bentley,120705284,5,7990968.79,7400092.32,590876.47,2127559,1536682.53,590876.47,177264.93,147720.85,29544.08
Springfield,"KEEFNER'S, INC.",150701722,4,2706079.44,2496541.98,209537.46,851212,641674.39,209537.61,62862.53,52385.49,10477.04
Springfield,"Kerby-Springfield, Inc.",120703892,3,2458572.37,2252328.92,206243.45,811691,605447.05,206243.95,61873.61,51561.37,10312.24
Springfield,KeRong Chen,150703093,5,3507934.56,3208647.34,299287.22,1366366,1067063.07,299302.93,89792.64,74827.22,14965.42
Springfield,Kevin Guinan,160700906,5,0,0,0,0,0,0,0,0,0
Springfield,KIKU JAPANESE STEAK & SEAFOOD HOUSE LTD.,150701011,4,234685.3,217035.87,17649.43,72845,55195.57,17649.43,5295.04,4412.53,882.51
Springfield,"KING OF CLUBS, INC.",180704586,2,1203779.54,1113350.81,90428.73,411551,321122.27,90428.73,27129.59,22608.06,4521.53
Springfield,KLA OF ILLINOIS INC.,160701630,5,1771963.29,1636588.36,135374.93,661257,525882.07,135374.93,40613.64,33844.74,6768.9
Springfield,"Knight's Action Park, Inc.",130705112,4,2808726.74,2565788.11,242938.63,1026638,783699.05,242938.95,72883.02,60735.89,12147.13
Springfield,L & O Inc.,120711584,5,6992441.25,6464344.52,528096.73,2051008,1522911.27,528096.73,158431.94,132026.72,26405.22
Springfield,"La Fiesta Mex, Inc.",140700210,2,914728.57,829737.71,84990.86,337416,252425.06,84990.94,25497.78,21248.15,4249.63
Springfield,"Lake Pointe Grill, Inc.",120706970,3,2936909,2665549.18,271359.82,1223643,952265.87,271377.13,81414.86,67845.76,13569.1
Springfield,LAKE PRESS CLUB,120705751,5,1723528.82,1609445.91,114082.91,596757,482674.09,114082.91,34226.22,28521.89,5704.33
Springfield,"LARJ, Inc.",120706968,5,17569214.41,16163556.49,1405657.92,6015256,4609598.08,1405657.92,421700.07,351416.88,70283.19
Springfield,Leah Schrenk,130700401,1,31013.46,28789.43,2224.03,9841,7616.97,2224.03,667.2,556,111.2
Springfield,Lloyd Staber Jr.,120702130,4,7673982.07,7094527.86,579454.21,2565406,1985951.79,579454.21,173838.67,144865.65,28973.02
Springfield,"Local 37, INC.",180701371,4,160120.93,143886.88,16234.05,63328,47093.95,16234.05,4870.35,4058.63,811.72
Springfield,"Lou's, Inc.",150701450,3,3469254.71,3198633.83,270620.88,1011790,741169.12,270620.88,81187.33,67656.08,13531.25
Springfield,LUCA PIZZA INC.,140701059,5,6968523.16,6431045.26,537477.9,2247953,1710474.95,537478.05,161245.77,134371.59,26874.18
Springfield,"Lucy's Place, LLC",120710166,5,44827297.75,41323555.94,3503741.81,13354613,9850871.19,3503741.81,1051126.38,875938.73,175187.65
Springfield,"Lucy's Place, LLC",120710238,5,37299508.41,34370785.89,2928722.52,11809718,8880995.38,2928722.62,878620.98,732184.28,146436.7
Springfield,"Lucy's Place, LLC",120711745,5,37963255.4,35045378.45,2917876.95,10897981,7980103.85,2917877.15,875366.14,729471.88,145894.26
Springfield,"Lucy's Place, LLC",130700286,5,30624460.3,28260812.62,2363647.68,9548414,7184765.97,2363648.03,709097.66,590914.78,118182.88
Springfield,"Lucy's Place, LLC",130700814,5,37613769.29,34614900.68,2998868.61,11836713,8837819.38,2998893.62,899671.38,749726.29,149945.09
Springfield,"Lucy's Place, LLC",130700815,5,44884865.44,41234907.41,3649958.03,14188461,10538474.18,3649986.82,1094999.87,912500,182499.87
Springfield,Mark888 Limited,140701227,2,5042.73,4659.68,383.05,3088,2704.95,383.05,114.91,95.74,19.17
Springfield,"Marly's Pub, L.L.C.",120708104,3,167408.47,154971.55,12436.92,57454,45016.95,12437.05,3731.2,3109.34,621.86
Springfield,MAX INC. OF ILLINOIS,120706048,5,29312439.86,27242286.17,2070153.69,8653932,6583778.31,2070153.69,621049.32,517541.24,103508.08
Springfield,Max Inc. of Illinois,140701171,5,7443983.03,6858822.6,585160.43,2852789,2267628.52,585160.48,175551.12,146292.69,29258.43
Springfield,"MCTAT, INC.",120706843,5,4918057.65,4534230.74,383826.91,1516592,1132764.84,383827.16,115150.87,95959.11,19191.76
Springfield,MELISSA ANN GOULD,130703189,5,4201482.62,3866051.91,335430.71,1341116,1005685.09,335430.91,100630.59,83858.85,16771.74
Springfield,"MELODY TIMES, INC.",150702470,5,6947030.8,6415626.09,531404.71,2487608,1956203.29,531404.71,159423.75,132853.17,26570.58
Springfield,Michael E. Gerula,120703765,5,5443796.77,5012969.43,430827.34,1667739,1236907.76,430831.24,129250.71,107708.98,21541.73
Springfield,"MillerTime Partners, LLC",130703520,5,577838.9,538373.95,39464.95,221852,182384.75,39467.25,11840.21,9866.85,1973.36
Springfield,Miss Kimmees LLC,140701648,5,37438125.49,34154112.06,3284013.43,11539149,8255028.12,3284120.88,985239.52,821033,164206.52
Springfield,MISS KIMMEES LLC,140702418,5,31186941.99,28519867.98,2667074.01,10150455,7483380.99,2667074.01,800125.09,666770.96,133354.13
Springfield,MISS KIMMEES LLC,150700968,5,20509316.47,18713579.16,1795737.31,6596087,4800348.71,1795738.29,538723.54,448936.33,89787.21
Springfield,MMC Entertainment LLC,150703676,5,0,0,0,0,0,0,0,0,0
